Mode,PID,Name,Supported,Value,Unit,Raw Bytes,Decode Formula,Error
01,01,Monitor status since DTCs cleared,True,0007ED00,,0007ED00,raw (special),
01,03,Fuel system status,True,0202,,0202,raw (special),
01,04,Calculated engine load,True,9.8,%,19,A * 100 / 255,
01,05,Engine coolant temperature,True,75,°C,73,A - 40,
01,06,Short term fuel trim - Bank 1,True,0.0,%,80,(A - 128) * 100 / 128,
01,07,Long term fuel trim - Bank 1,True,-3.1,%,7C,(A - 128) * 100 / 128,
01,08,Short term fuel trim - Bank 2,True,0.0,%,80,(A - 128) * 100 / 128,
01,09,Long term fuel trim - Bank 2,True,-7.0,%,77,(A - 128) * 100 / 128,
01,0B,Intake manifold absolute pressure,True,38,kPa,26,A,
01,0C,Engine RPM,True,660.0,RPM,0A4E,((A * 256) + B) / 4,
01,0D,Vehicle speed,True,0,km/h,00,A,
01,0E,Timing advance,True,5.0,°,8A,(A - 128) / 2,
01,11,Throttle position,True,12.5,%,20,A * 100 / 255,
01,12,Commanded secondary air status,True,04,,04,raw (special),
01,13,Oxygen sensors present (2 banks),True,33,,33,bitmap of supported PIDs,
01,15,O2 Sensor 2 - Voltage/Trim,True,"0.44V, 99.2%",,58FF,"A/200, (B-128)*100/128",
01,19,O2 Sensor 6 - Voltage/Trim,True,"0.45V, 99.2%",,5AFF,"A/200, (B-128)*100/128",
01,1C,OBD standards compliance,True,OBD + OBD-II,,03,Lookup table,
01,1F,Run time since engine start,True,586,sec,024A,(A * 256) + B,
01,20,PIDs supported [21-40],True,8007B119,,8007B119,bitmap of supported PIDs,
01,21,Distance traveled with MIL on,True,0,km,0000,(A * 256) + B,
01,2E,Commanded evaporative purge,True,37.3,%,5F,A * 100 / 255,
01,2F,Fuel tank level input,True,99.6,%,FE,A * 100 / 255,
01,30,Warm-ups since codes cleared,True,85,,55,A,
01,31,Distance traveled since codes cleared,True,779,km,030B,(A * 256) + B,
01,33,Absolute barometric pressure,True,99,kPa,63,A,
01,34,O2 Sensor 1 - Lambda/Current,True,7E1F7FF1,,7E1F7FF1,raw (o2_current),
01,38,O2 Sensor 5 - Lambda/Current,True,80BF7FFB,,80BF7FFB,raw (o2_current),
01,3C,"Catalyst Temp: Bank 1, Sensor 1",True,328.4,°C,0E64,((A*256)+B)/10 - 40,
01,3D,"Catalyst Temp: Bank 2, Sensor 1",True,328.7,°C,0E67,((A*256)+B)/10 - 40,
01,40,PIDs supported [41-60],True,FED08501,,FED08501,bitmap of supported PIDs,
01,41,Monitor status this drive cycle,True,0027E9E5,,0027E9E5,raw (special),
01,42,Control module voltage,True,13.9,V,364C,((A * 256) + B) / 1000,
01,43,Absolute load value,True,0045,,0045,raw (load_16),
01,44,Commanded A/F ratio,True,14.7,:1,8000,((A*256)+B)/32768 * 14.7,
01,45,Relative throttle position,True,2.7,%,07,A * 100 / 255,
01,46,Ambient air temperature,True,3,°C,2B,A - 40,
01,47,Absolute throttle position B,True,12.9,%,21,A * 100 / 255,
01,49,Accelerator pedal position D,True,14.9,%,26,A * 100 / 255,
01,4A,Accelerator pedal position E,True,14.9,%,26,A * 100 / 255,
01,4C,Commanded throttle actuator,True,3.5,%,09,A * 100 / 255,
01,51,Fuel type,True,Gasoline,,01,Lookup table,
01,56,Long term O2 trim - Bank 1/3,True,7E,,7E,raw (percent_128_dual),
01,58,Long term O2 trim - Bank 2/4,True,80,,80,raw (percent_128_dual),
01,60,PIDs supported [61-80],True,02090E00,,02090E00,bitmap of supported PIDs,
01,67,Engine coolant temperature,True,037570,,037570,raw (special),
01,6D,Fuel pressure control,True,00D,,00D,raw (special),
01,70,Boost pressure control,True,00C,,00C,raw (special),
01,75,Unknown PID 0175,True,009,,009,raw hex,
01,76,Unknown PID 0176,True,009,,009,raw hex,
01,77,Unknown PID 0177,True,0137000000,,0137000000,raw hex,
09,02,Vehicle Identification Number,True,,,014,ASCII decode,
09,04,Calibration ID,True,,,013,ASCII decode,
09,06,Calibration Verification Numbers,True,0120034999,,0120034999,raw (hex),
09,08,In-use performance tracking (compression),True,02B,,02B,raw (special),
09,0A,ECU name,True,,,017,ASCII decode,
